Mean,Standart_Deviation,Energy,Entropy,Skewness,Class
128.573005481,73.5013508324,0.5042078646,0.5042078646,-599671970.242,0
128.944066955,73.7340432186,0.5056630077,0.5056630077,1801773576.08,2
128.799417708,73.7983740063,0.5050957557,0.5050957557,-1698008221.17,0
117.914718498,79.1217141626,0.4624106608,0.4624106608,10688815688.8,0
122.860301858,76.8025490165,0.4818051053,0.4818051053,1715363023.93,2
123.272587567,75.4204772041,0.483421912,0.483421912,9503108457.34,1
119.451734701,78.0296716239,0.4684381753,0.4684381753,11626035864,0
124.14537274,75.5545730024,0.486844599,0.486844599,4344610287.6,0
119.831306346,77.6981943969,0.4699266916,0.4699266916,10343898712.1,2
128.394649487,73.247753914,0.5035084294,0.5035084294,3120425335.97,2
125.1780734,75.534721163,0.4908944055,0.4908944055,982531257.84,1
123.792161956,75.2696183483,0.4854594587,0.4854594587,11301801543.9,1
128.603965631,72.915476397,0.504329277,0.504329277,2949031056.5,0
128.632781497,72.814367832,0.5044422804,0.5044422804,3473310467.67,0
115.656596067,79.7764295369,0.4535552787,0.4535552787,25847389552.4,2
124.062499517,75.9589925307,0.4865196059,0.4865196059,5416557820.04,0
128.865627117,72.4801004466,0.5053554005,0.5053554005,12343381198.1,1
128.911685317,72.7178995267,0.5055360209,0.5055360209,6463178810.99,0
117.082432092,79.2005232216,0.4591467925,0.4591467925,20788098415.1,2
121.2924567,77.2957919703,0.4756566929,0.4756566929,8497495285.23,0
128.171920674,73.94464196,0.502634983,0.502634983,1876495311.84,0
128.542597293,73.5609385614,0.5040886168,0.5040886168,2405814048.71,0
128.642892661,73.03894494,0.504481932,0.504481932,4905562141.59,0
128.498053075,73.5099765631,0.5039139336,0.5039139336,1500111349.35,0
129.747017245,71.429844212,0.5088118323,0.5088118323,10187801782,0
124.741573559,75.0161649047,0.4891826414,0.4891826414,5023364185.99,2
127.349645852,73.3978966383,0.4994103759,0.4994103759,5800158612.02,1
104.947776113,83.1148178976,0.4115599063,0.4115599063,38638554357.7,0
117.85450902,78.8518484366,0.4621745452,0.4621745452,7179360767.09,1
118.928147156,78.488790151,0.4663848908,0.4663848908,8299338361.98,2
120.299225287,77.7173631448,0.4717616678,0.4717616678,8246117613.53,1
129.041259082,73.3768657841,0.5060441533,0.5060441533,5402907450.57,0
127.140285022,74.3615650717,0.498589353,0.498589353,4362684356.23,0
127.943239747,74.2051551734,0.5017381951,0.5017381951,-88662231.6597,2
127.856376824,73.8577318334,0.5013975562,0.5013975562,567299380.455,0
129.643286579,71.4020824173,0.5084050454,0.5084050454,6859473805.09,1
128.391649091,73.1807227384,0.5034966631,0.5034966631,4262785390.07,0
128.55645076,73.660029142,0.5041429442,0.5041429442,3362919942.95,1
129.069818013,72.5064858201,0.5061561491,0.5061561491,6122681839.28,0
129.125403562,72.5178606695,0.5063741316,0.5063741316,8585907593.18,0
128.834041492,72.9971214614,0.5052315353,0.5052315353,12687492408.5,2
128.893354479,73.1125805764,0.5054641352,0.5054641352,13021849341.5,0
119.678523777,78.0144940018,0.4693275442,0.4693275442,11821406402.9,0
128.993866908,73.5764572406,0.5058583016,0.5058583016,1618175148.21,2
130.203330573,71.5781205581,0.5106012964,0.5106012964,11937203614.4,0
128.723529149,72.9750019846,0.5047981535,0.5047981535,7153210208.2,1
128.422296696,73.3030908638,0.5036168498,0.5036168498,5039109900.72,0
128.289661273,73.4661936624,0.5030967109,0.5030967109,2038514319.69,0
128.402480832,73.3919796406,0.5035391405,0.5035391405,1653281282.92,1
126.045182711,74.9218028403,0.4942948342,0.4942948342,4352303275.05,0
128.944236083,73.1459819468,0.5056636709,0.5056636709,7229101808.81,1
128.266758352,73.619268878,0.5030068955,0.5030068955,1150651362.84,0
128.648836683,73.2878278116,0.5045052419,0.5045052419,3848498243.06,1
123.942914106,75.9865773972,0.4860506436,0.4860506436,2284409314.65,0
129.138723068,72.5544505729,0.506426365,0.506426365,7011167377.85,0
129.341340972,72.6154081803,0.507220945,0.507220945,7838229853.91,2
129.228687395,72.740745173,0.5067791663,0.5067791663,19830361900.4,2
128.556866156,73.4287066275,0.5041445732,0.5041445732,12790152510.4,0
127.682718043,74.9651704836,0.5007165413,0.5007165413,-7371293164.22,0
128.004302131,74.8003126661,0.5019776554,0.5019776554,-3965475208.14,0
107.59565769,82.270343426,0.4219437556,0.4219437556,39683162362.4,1
101.44245018,83.8029214636,0.3978135301,0.3978135301,82938941700.5,0
115.155651594,79.4415485118,0.4515907906,0.4515907906,28119897529,0
123.102186873,75.7721645595,0.482753674,0.482753674,14153249761.4,2
128.561893546,73.5324473058,0.5041642884,0.5041642884,-493229814.453,2
127.307432922,73.5657239892,0.499244835,0.499244835,2192285168.25,0
128.606623008,72.7075838862,0.5043396981,0.5043396981,3452427082.91,2
128.248438564,73.6750844948,0.5029350532,0.5029350532,1823621590.37,0
128.363034902,73.4577046924,0.5033844506,0.5033844506,3584869251.1,0
113.919678228,80.3924108478,0.4467438362,0.4467438362,14661997872.4,2
113.315438614,80.7149621436,0.4443742691,0.4443742691,13070325543.1,0
127.489980175,74.2995694915,0.4999607066,0.4999607066,-157264661.68,2
129.172393787,72.4424081935,0.506558407,0.506558407,11888552572.5,0
127.687945595,72.7503710863,0.5007370416,0.5007370416,10134826102.2,1
131.123980756,70.0913199979,0.5142116892,0.5142116892,14382170324.1,0
128.137329086,73.7140278918,0.5024993297,0.5024993297,-2429136229.4,1
128.708478852,73.3954411563,0.5047391328,0.5047391328,2057414731.79,1
127.947758727,74.6318323687,0.5017559166,0.5017559166,-1391387570.37,0
121.837784632,77.6865243733,0.4777952339,0.4777952339,428791609.291,1
111.211292585,83.8265498222,0.436122716,0.436122716,205914083890,0
103.146910805,83.5009755009,0.4044976894,0.4044976894,65339433469,1
114.217067587,80.3313284927,0.447910069,0.447910069,22219921294.4,0
113.607688414,80.7492961489,0.4455203467,0.4455203467,19815801505,0
124.44343631,75.6179488102,0.4880134757,0.4880134757,2586540873.79,1
123.842739759,76.1085125904,0.485657803,0.485657803,3393992886.38,1
119.819334516,79.977211744,0.4698797432,0.4698797432,140646670517,0
